;particpant_ID;puzzler;team_ID;E4_nr;upset;hostile;alert;ashamed;inspired;nervous;determined;attentive;afraid;active;frustrated;Round;Phase;difficulty
0;1;0;1;A03701;1;1;1;1;3.0;3;3.0;1.0;1.0;1.0;5;1;1;
1;2;1;1;A0306B;1;1;4;1;3.0;3;3.0;3.0;1.0;2.0;2;1;1;
2;3;1;3;A02FBE;1;1;3;1;3.0;1;4.0;3.0;1.0;4.0;2;1;1;
3;4;0;3;A03857;1;1;3;1;2.0;1;2.0;3.0;1.0;2.0;0;1;1;
4;5;0;4;A02B10;1;1;3;1;3.0;2;2.0;3.0;1.0;2.0;1;1;1;
5;6;1;4;A03072;1;1;1;1;1.0;2;2.0;2.0;1.0;1.0;0;1;1;
6;7;1;2;A0388C;1;1;2;1;2.0;2;3.0;3.0;1.0;2.0;1;1;1;
7;8;0;2;A03804;1;1;2;1;1.0;2;2.0;2.0;1.0;2.0;2;1;1;
0;1;0;1;A03701;2;2;1;1;3.0;1;1.0;1.0;1.0;2.0;3;1;2;2.0
1;2;1;1;A0306B;1;1;4;1;4.0;2;4.0;3.0;1.0;3.0;2;1;2;2.0
2;3;1;3;A02FBE;3;1;3;3;2.0;1;4.0;3.0;1.0;3.0;3;1;2;7.0
3;4;0;3;A03857;2;1;2;4;2.0;2;2.0;3.0;1.0;2.0;5;1;2;7.0
4;5;0;4;A02B10;1;1;4;1;3.0;1;4.0;4.0;1.0;4.0;4;1;2;6.0
5;6;1;4;A03072;1;1;3;2;1.0;2;3.0;3.0;1.0;2.0;1;1;2;7.0
6;7;1;2;A0388C;1;1;1;1;3.0;1;3.0;2.0;1.0;3.0;2;1;2;5.0
7;8;0;2;A03804;3;1;3;2;1.0;1;3.0;3.0;1.0;3.0;5;1;2;5.0
0;1;0;1;A03701;1;1;1;1;2.0;2;3.0;4.0;1.0;4.0;1;1;3;
1;2;1;1;A0306B;1;1;3;1;3.0;2;2.0;3.0;1.0;2.0;1;1;3;
2;3;1;3;A02FBE;2;1;2;1;3.0;1;3.0;3.0;1.0;4.0;3;1;3;
3;4;0;3;A03857;2;1;2;2;3.0;2;4.0;4.0;1.0;3.0;2;1;3;
4;5;0;4;A02B10;1;1;3;1;3.0;1;3.0;3.0;1.0;2.0;2;1;3;
5;6;1;4;A03072;1;1;1;1;1.0;2;3.0;2.0;1.0;1.0;2;1;3;
6;7;1;2;A0388C;1;1;1;1;2.0;1;2.0;2.0;1.0;1.0;3;1;3;
7;8;0;2;A03804;1;1;2;1;1.0;1;2.0;2.0;1.0;1.0;2;1;3;
0;1;0;1;A03701;3;3;1;1;;1;2.0;3.0;4.0;2.0;4;2;1;
1;2;1;1;A0306B;1;1;2;1;2.0;2;2.0;2.0;1.0;1.0;2;2;1;
2;3;1;3;A02FBE;1;1;3;1;3.0;2;4.0;4.0;1.0;4.0;2;2;1;
3;4;0;3;A03857;2;1;2;2;3.0;1;3.0;3.0;1.0;3.0;1;2;1;
4;5;0;4;A02B10;1;1;3;1;2.0;1;3.0;2.0;1.0;2.0;1;2;1;
5;6;1;4;A03072;1;1;2;1;1.0;2;1.0;2.0;1.0;1.0;0;2;1;
6;7;1;2;A0388C;1;1;1;1;2.0;1;3.0;2.0;1.0;1.0;4;2;1;
7;8;0;2;A03804;2;1;2;1;1.0;1;2.0;2.0;1.0;1.0;2;2;1;
0;1;0;1;A03701;3;2;1;1;3.0;1;3.0;4.0;1.0;3.0;4;2;2;7.0
1;2;1;1;A0306B;2;1;3;2;3.0;2;3.0;3.0;1.0;3.0;4;2;2;8.0
2;3;1;3;A02FBE;4;1;4;3;4.0;2;3.0;4.0;1.0;4.0;6;2;2;6.0
3;4;0;3;A03857;3;1;3;4;3.0;1;2.0;3.0;1.0;2.0;7;2;2;9.0
4;5;0;4;A02B10;1;1;3;2;2.0;1;2.0;3.0;1.0;3.0;5;2;2;8.0
5;6;1;4;A03072;2;1;1;1;1.0;1;4.0;3.0;1.0;2.0;5;2;2;8.0
6;7;1;2;A0388C;1;1;2;1;2.0;1;3.0;3.0;1.0;3.0;1;2;2;2.0
7;8;0;2;A03804;1;1;3;1;1.0;1;4.0;4.0;1.0;3.0;3;2;2;3.0
0;1;0;1;A03701;2;1;1;1;3.0;1;2.0;2.0;1.0;1.0;4;2;3;
1;2;1;1;A0306B;2;1;2;3;2.0;1;2.0;2.0;1.0;2.0;4;2;3;
2;3;1;3;A02FBE;2;1;3;2;3.0;1;4.0;3.0;1.0;4.0;5;2;3;
3;4;0;3;A03857;2;1;2;3;2.0;1;2.0;3.0;1.0;2.0;6;2;3;
4;5;0;4;A02B10;1;1;2;1;2.0;1;3.0;2.0;1.0;2.0;2;2;3;
5;6;1;4;A03072;1;1;2;1;1.0;1;2.0;1.0;1.0;1.0;1;2;3;
6;7;1;2;A0388C;1;1;1;1;2.0;1;2.0;2.0;1.0;2.0;4;2;3;
